delivery_time_utc,solar_forecast,wind_forecast
31/12/2021 23:00,0,2600.58
31/12/2021 23:15,0,2570.85
31/12/2021 23:30,0,2519.54
31/12/2021 23:45,0,2476.13
01/01/2022 00:00,0,2427.4
01/01/2022 00:15,0,2391.48
01/01/2022 00:30,0,2339.55
01/01/2022 00:45,0,2275.5
01/01/2022 01:00,0,2197.08
01/01/2022 01:15,0,2113.61
01/01/2022 01:30,0,2038.59
01/01/2022 01:45,0,1961.8
01/01/2022 02:00,0,1884.94
01/01/2022 02:15,0,1817.13
01/01/2022 02:30,0,1771.47
01/01/2022 02:45,0,1720.36
01/01/2022 03:00,0,1652.28
01/01/2022 03:15,0,1652.18
01/01/2022 03:30,0,1639.26
01/01/2022 03:45,0,1628.56
01/01/2022 04:00,0,1632.95
01/01/2022 04:15,0,1648.64
01/01/2022 04:30,0,1688.92
01/01/2022 04:45,0,1722.89
01/01/2022 05:00,0,1767.97
01/01/2022 05:15,0,1801.94
01/01/2022 05:30,0,1847.96
01/01/2022 05:45,0,1880.41
01/01/2022 06:00,0,1906.65
01/01/2022 06:15,0,1969.13
01/01/2022 06:30,0,2017.97
01/01/2022 06:45,0,2074.12
01/01/2022 07:00,0,2147.42
01/01/2022 07:15,0,2206.59
01/01/2022 07:30,0.06,2300.57
01/01/2022 07:45,5.76,2362.29
01/01/2022 08:00,24.5,2434.77
01/01/2022 08:15,58.21,2513.15
01/01/2022 08:30,98.57,2567.65
01/01/2022 08:45,138.6,2637.25
01/01/2022 09:00,178.45,2693.69
01/01/2022 09:15,216.87,2729.45
01/01/2022 09:30,260.49,2747.09
01/01/2022 09:45,304.38,2742.04
01/01/2022 10:00,351.39,2715.61
01/01/2022 10:15,399.57,2703.4
01/01/2022 10:30,447.58,2690.71
01/01/2022 10:45,493.15,2671.57
01/01/2022 11:00,529.42,2627.31
01/01/2022 11:15,557.15,2609.6
01/01/2022 11:30,578.13,2611.42
01/01/2022 11:45,594.13,2618.63
01/01/2022 12:00,602.99,2627.25
01/01/2022 12:15,611.45,2658.28
01/01/2022 12:30,595.44,2690.83
01/01/2022 12:45,564.58,2754.68
01/01/2022 13:00,526.75,2860.01
01/01/2022 13:15,483.41,2922.26
01/01/2022 13:30,433.74,2953.55
01/01/2022 13:45,380.52,2980.93
01/01/2022 14:00,323.59,2989.15
01/01/2022 14:15,264.9,2991.41
01/01/2022 14:30,208.3,3009.6
01/01/2022 14:45,151.11,3015.68
01/01/2022 15:00,94,3000.98
01/01/2022 15:15,41.29,2998.02
01/01/2022 15:30,8.08,2996.24
01/01/2022 15:45,0.04,2993.86
01/01/2022 16:00,0,3001.7
01/01/2022 16:15,0,2994.13
01/01/2022 16:30,0,2999.32
01/01/2022 16:45,0,2999.51
01/01/2022 17:00,0,2986.54
01/01/2022 17:15,0,2976.45
01/01/2022 17:30,0,2973.42
01/01/2022 17:45,0,2967.28
01/01/2022 18:00,0,2954.21
01/01/2022 18:15,0,2947.31
01/01/2022 18:30,0,2936.59
01/01/2022 18:45,0,2918.19
01/01/2022 19:00,0,2893.52
01/01/2022 19:15,0,2890.39
01/01/2022 19:30,0,2891.31
01/01/2022 19:45,0,2870.9
01/01/2022 20:00,0,2866.73
01/01/2022 20:15,0,2874.48
01/01/2022 20:30,0,2877.68
01/01/2022 20:45,0,2873.37
01/01/2022 21:00,0,2876.42
01/01/2022 21:15,0,2878.68
01/01/2022 21:30,0,2875.45
01/01/2022 21:45,0,2873.82
01/01/2022 22:00,0,2881.07
01/01/2022 22:15,0,2872.76
01/01/2022 22:30,0,2869.85
01/01/2022 22:45,0,2864.63
01/01/2022 23:00,0,2909.92
01/01/2022 23:15,0,2911.09
01/01/2022 23:30,0,2919.27
01/01/2022 23:45,0,2914.01
02/01/2022 00:00,0,2926.22
02/01/2022 00:15,0,2899.67
02/01/2022 00:30,0,2919.86
02/01/2022 00:45,0,2923.88
02/01/2022 01:00,0,2963.44
